id,cores,threads,name,processor_number,launch_date,lithography,bus_speed,base_frequency,turbo_frequency,configurable_tdp_up_frequency,cache_size,tdp,configurable_tdp_up,price,product_line,socket,memory_type,url,vertical_segment,max_memory_size,status,max_temp,sku,package_size,fullname
189,2,2,Intel Celeron J3355,J3355,2016-08-01,14,,2000,,,2048,10,,24,Intel Celeron Processor J Series,FCBGA1296,DDR3L/LPDDR3 up to 1866 MT/s; LPDDR4 up to 2400 MT/s,https://www.intel.com/content/www/us/en/products/sku/95597/intel-celeron-processor-j3355-2m-cache-up-to-2-50-ghz/specifications.html,Desktop,8388608,Launched,105,95597,24mm x 31mm,"Intel Celeron Processor J3355 (2M Cache, up to 2.50 GHz)"
190,4,4,Intel Celeron J3455,J3455,2016-08-01,14,,1500,,,2048,10,,31,Intel Celeron Processor J Series,FCBGA1296,DDR3L/LPDDR3 up to 1866 MT/s; LPDDR4 up to 2400 MT/s,https://www.intel.com/content/www/us/en/products/sku/95594/intel-celeron-processor-j3455-2m-cache-up-to-2-30-ghz/specifications.html,Desktop,8388608,Launched,105,95594,24mm x 31mm,"Intel Celeron Processor J3455 (2M Cache, up to 2.30 GHz)"
191,4,4,Intel Celeron J4105,J4105,2017-11-01,14,,1500,,,4096,10,,,Intel Celeron Processor J Series,FCBGA1090,DDR4/LPDDR4 upto 2400 MT/s,https://www.intel.com/content/www/us/en/products/sku/128989/intel-celeron-j4105-processor-4m-cache-up-to-2-50-ghz/specifications.html,Mobile,8388608,Launched,105,128989,25mm x 24mm,"Intel Celeron J4105 Processor (4M Cache, up to 2.50 GHz)"
192,4,4,Intel Core i5-6402P,i5-6402P,2015-11-01,14,8,2800,3400,,6144,65,,,6th Generation Intel Core i5 Processors,FCLGA1151,"DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V",https://www.intel.com/content/www/us/en/products/sku/93277/intel-core-i56402p-processor-6m-cache-up-to-3-40-ghz/specifications.html,Desktop,67108864,Discontinued,71,93277,37.5mm x 37.5mm,"Intel Core i5-6402P Processor (6M Cache, up to 3.40 GHz)"
193,2,4,Intel Core i5-6198DU,i5-6198DU,2015-11-01,14,,2300,2800,2400,3072,15,25,,6th Generation Intel Core i5 Processors,,"DDR4-2133, LPDDR3-1866, DDR3L-1600",https://www.intel.com/content/www/us/en/products/sku/93432/intel-core-i56198du-processor-3m-cache-up-to-2-80-ghz/specifications.html,Mobile,33554432,Launched,100,93432,42mm X 24mm,"Intel Core i5-6198DU Processor (3M Cache, up to 2.80 GHz)"
194,4,4,Intel Core i5-6350HQ,i5-6350HQ,2016-02-01,14,8,2300,3200,,6144,45,,306,6th Generation Intel Core i5 Processors,FCBGA1440,"DDR4-2133, LPDDR3-1866, DDR3L-1600",https://www.intel.com/content/www/us/en/products/sku/93335/intel-core-i56350hq-processor-6m-cache-up-to-3-20-ghz/specifications.html,Mobile,67108864,Discontinued,100,93335,42mm x 28mm,"Intel Core i5-6350HQ Processor (6M Cache, up to 3.20 GHz)"
195,4,4,Intel Core i5-6585R,i5-6585R,2016-05-01,14,8,2800,3600,,6144,65,,,6th Generation Intel Core i5 Processors,,"DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V",https://www.intel.com/content/www/us/en/products/sku/93337/intel-core-i56585r-processor-6m-cache-up-to-3-60-ghz/specifications.html,Desktop,67108864,Discontinued,71,93337,42mm x 28mm,"Intel Core i5-6585R Processor (6M Cache, up to 3.60 GHz)"
196,4,4,Intel Core i5-6685R,i5-6685R,2016-05-01,14,8,3200,3800,,6144,65,,,6th Generation Intel Core i5 Processors,,"DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V",https://www.intel.com/content/www/us/en/products/sku/93338/intel-core-i56685r-processor-6m-cache-up-to-3-80-ghz/specifications.html,Desktop,67108864,Discontinued,71,93338,42mm x 28mm,"Intel Core i5-6685R Processor (6M Cache, up to 3.80 GHz)"
197,2,4,Intel Core i5-7200U,i5-7200U,2016-08-01,14,4,2500,3100,2700,3072,15,25,281,7th Generation Intel Core i5 Processors,FCBGA1356,"DDR4-2133, LPDDR3-1866, DDR3L-1600",https://www.intel.com/content/www/us/en/products/sku/95443/intel-core-i57200u-processor-3m-cache-up-to-3-10-ghz/specifications.html,Mobile,33554432,Launched,100,95443,42mm X 24mm,"Intel Core i5-7200U Processor (3M Cache, up to 3.10 GHz)"
198,2,4,Intel Core i5-7Y54,i5-7Y54,2016-08-01,14,4,1200,3200,1600,4096,4.5,7,281,7th Generation Intel Core i5 Processors,FCBGA1515,"LPDDR3-1866, DDR3L-1600",https://www.intel.com/content/www/us/en/products/sku/95452/intel-core-i57y54-processor-4m-cache-up-to-3-20-ghz/specifications.html,Mobile,16777216,Launched,100,95452,20.5mm X 16.5mm,"Intel Core i5-7Y54 Processor (4M Cache, up to 3.20 GHz)"
199,2,4,Intel Core i5-7360U,i5-7360U,2017-02-01,14,4,2300,3600,,4096,15,,304,7th Generation Intel Core i5 Processors,FCBGA1356,"DDR4-2133, LPDDR3-1866, DDR3L-1600",https://www.intel.com/content/www/us/en/products/sku/97535/intel-core-i57360u-processor-4m-cache-up-to-3-60-ghz/specifications.html,Mobile,33554432,Launched,100,97535,42x24x1.3,"Intel Core i5-7360U Processor (4M Cache, up to 3.60 GHz)"
200,4,4,Intel Core i5-7442EQ,i5-7442EQ,2017-02-01,14,,2100,2900,,6144,25,,250,7th Generation Intel Core i5 Processors,FCBGA1440,DDR4-2400,https://www.intel.com/content/www/us/en/products/sku/97532/intel-core-i57442eq-processor-6m-cache-up-to-2-90-ghz/specifications.html,Embedded,67108864,Launched,100,97532,42mm x 28mm,"Intel Core i5-7442EQ Processor (6M Cache, up to 2.90 GHz)"
201,2,4,Intel Core i5-7287U,i5-7287U,2017-02-01,14,4,3300,3700,,4096,28,,,7th Generation Intel Core i5 Processors,,"DDR4-2133, LPDDR3-1866, DDR3L-1600",https://www.intel.com/content/www/us/en/products/sku/97531/intel-core-i57287u-processor-4m-cache-up-to-3-70-ghz/specifications.html,Mobile,33554432,Discontinued,100,97531,42x24x1.3,"Intel Core i5-7287U Processor (4M Cache, up to 3.70 GHz)"
202,2,4,Intel Core i5-7267U,i5-7267U,2017-02-01,14,4,3100,3500,,4096,28,,,7th Generation Intel Core i5 Processors,,"DDR4-2133, LPDDR3-1866, DDR3L-1600",https://www.intel.com/content/www/us/en/products/sku/97528/intel-core-i57267u-processor-4m-cache-up-to-3-50-ghz/specifications.html,Mobile,33554432,Discontinued,100,97528,42x24x1.3,"Intel Core i5-7267U Processor (4M Cache, up to 3.50 GHz)"
203,4,4,Intel Core i5-7440EQ,i5-7440EQ,2017-02-01,14,8,2900,3600,,6144,45,,250,7th Generation Intel Core i5 Processors,FCBGA1440,DDR4-2400,https://www.intel.com/content/www/us/en/products/sku/97523/intel-core-i57440eq-processor-6m-cache-up-to-3-60-ghz/specifications.html,Embedded,67108864,Launched,100,97523,42mm x 28mm,"Intel Core i5-7440EQ Processor (6M Cache, up to 3.60 GHz)"
204,2,4,Intel Core i5-7300U,i5-7300U,2017-02-01,14,4,2600,3500,2700,3072,15,25,281,7th Generation Intel Core i5 Processors,FCBGA1356,"DDR4-2133, LPDDR3-1866, DDR3L-1600",https://www.intel.com/content/www/us/en/products/sku/97472/intel-core-i57300u-processor-3m-cache-up-to-3-50-ghz/specifications.html,Mobile,33554432,Launched,100,97472,42mm X 24mm,"Intel Core i5-7300U Processor (3M Cache, up to 3.50 GHz)"
205,2,4,Intel Core i5-7Y57,i5-7Y57,2017-02-01,14,4,1200,3300,1600,4096,4.5,7,281,7th Generation Intel Core i5 Processors,FCBGA1515,"LPDDR3-1866, DDR3L-1600",https://www.intel.com/content/www/us/en/products/sku/97461/intel-core-i57y57-processor-4m-cache-up-to-3-30-ghz/specifications.html,Mobile,16777216,Launched,100,97461,20.5mm X 16.5mm,"Intel Core i5-7Y57 Processor (4M Cache, up to 3.30 GHz)"
206,2,4,Intel Core i5-7260U,i5-7260U,2017-02-01,14,,2200,3400,,4096,15,,304,7th Generation Intel Core i5 Processors,FCBGA1356,"DDR4-2133, LPDDR3-1866, DDR3L-1600",https://www.intel.com/content/www/us/en/products/sku/97539/intel-core-i57260u-processor-4m-cache-up-to-3-40-ghz/specifications.html,Mobile,33554432,Launched,100,97539,42x24x1.3,"Intel Core i5-7260U Processor (4M Cache, up to 3.40 GHz)"
207,4,4,Intel Core i5-7300HQ,i5-7300HQ,2017-02-01,14,8,2500,3500,,6144,45,,,7th Generation Intel Core i5 Processors,FCBGA1440,"DDR4-2400, LPDDR3-2133, DDR3L-1600",https://www.intel.com/content/www/us/en/products/sku/97456/intel-core-i57300hq-processor-6m-cache-up-to-3-50-ghz/specifications.html,Mobile,67108864,Launched,100,97456,42mm x 28mm,"Intel Core i5-7300HQ Processor (6M Cache, up to 3.50 GHz)"
208,4,4,Intel Core i5-7400T,i5-7400T,2017-02-01,14,8,2400,3000,,6144,35,,,7th Generation Intel Core i5 Processors,FCLGA1151,"DDR4-2133/2400, DDR3L-1333/1600 @ 1.35V",https://www.intel.com/content/www/us/en/products/sku/97184/intel-core-i57400t-processor-6m-cache-up-to-3-00-ghz/specifications.html,Desktop,67108864,Discontinued,80,97184,37.5mm x 37.5mm,"Intel Core i5-7400T Processor (6M Cache, up to 3.00 GHz)"
209,4,4,Intel Core i5-7600T,i5-7600T,2017-02-01,14,8,2800,3700,,6144,35,,,7th Generation Intel Core i5 Processors,FCLGA1151,"DDR4-2133/2400, DDR3L-1333/1600 @ 1.35V",https://www.intel.com/content/www/us/en/products/sku/97183/intel-core-i57600t-processor-6m-cache-up-to-3-70-ghz/specifications.html,Desktop,67108864,Discontinued,80,97183,37.5mm x 37.5mm,"Intel Core i5-7600T Processor (6M Cache, up to 3.70 GHz)"
210,4,4,Intel Core i5-7600,i5-7600,2017-02-01,14,8,3500,4100,,6144,65,,,7th Generation Intel Core i5 Processors,FCLGA1151,"DDR4-2133/2400, DDR3L-1333/1600 @ 1.35V",https://www.intel.com/content/www/us/en/products/sku/97150/intel-core-i57600-processor-6m-cache-up-to-4-10-ghz/specifications.html,Desktop,67108864,Discontinued,100,97150,37.5mm x 37.5mm,"Intel Core i5-7600 Processor (6M Cache, up to 4.10 GHz)"
211,16,32,Intel Xeon Gold 6142,6142,2017-08-01,14,,2600,3700,,22528,150,,2946,Intel Xeon Scalable Processors,FCLGA3647,DDR4-2666,https://www.intel.com/content/www/us/en/products/sku/120487/intel-xeon-gold-6142-processor-22m-cache-2-60-ghz/specifications.html,Server,805306368,Launched,85,120487,76.0mm x 56.5mm,"Intel Xeon Gold 6142 Processor (22M Cache, 2.60 GHz)"
212,16,32,Intel Xeon Gold 6142M,6142M,2017-08-01,14,,2600,3700,,22528,150,,,Intel Xeon Scalable Processors,FCLGA3647,DDR4-2666,https://www.intel.com/content/www/us/en/products/sku/120488/intel-xeon-gold-6142m-processor-22m-cache-2-60-ghz/specifications.html,Server,1610612736,Launched,85,120488,76.0mm x 56.5mm,"Intel Xeon Gold 6142M Processor (22M Cache, 2.60 GHz)"
213,20,40,Intel Xeon Gold 6148,6148,2017-08-01,14,,2400,3700,,28160,150,,3072,Intel Xeon Scalable Processors,FCLGA3647,DDR4-2666,https://www.intel.com/content/www/us/en/products/sku/120489/intel-xeon-gold-6148-processor-27-5m-cache-2-40-ghz/specifications.html,Server,805306368,Launched,86,120489,76.0mm x 56.5mm,"Intel Xeon Gold 6148 Processor (27.5M Cache, 2.40 GHz)"
214,18,36,Intel Xeon Gold 6150,6150,2017-08-01,14,,2700,3700,,25344,165,,3358,Intel Xeon Scalable Processors,FCLGA3647,DDR4-2666,https://www.intel.com/content/www/us/en/products/sku/120490/intel-xeon-gold-6150-processor-24-75m-cache-2-70-ghz/specifications.html,Server,805306368,Launched,89,120490,76.0mm x 56.5mm,"Intel Xeon Gold 6150 Processor (24.75M Cache, 2.70 GHz)"
215,22,44,Intel Xeon Gold 6152,6152,2017-08-01,14,,2100,3700,,30976,140,,3655,Intel Xeon Scalable Processors,FCLGA3647,DDR4-2666,https://www.intel.com/content/www/us/en/products/sku/120491/intel-xeon-gold-6152-processor-30-25m-cache-2-10-ghz/specifications.html,Server,805306368,Launched,92,120491,76.0mm x 56.5mm,"Intel Xeon Gold 6152 Processor (30.25M Cache, 2.10 GHz)"
216,16,32,Intel Xeon Gold 6130,6130,2017-08-01,14,,2100,3700,,22528,125,,1894,Intel Xeon Scalable Processors,FCLGA3647,DDR4-2666,https://www.intel.com/content/www/us/en/products/sku/120492/intel-xeon-gold-6130-processor-22m-cache-2-10-ghz/specifications.html,Server,805306368,Launched,87,120492,76.0mm x 56.5mm,"Intel Xeon Gold 6130 Processor (22M Cache, 2.10 GHz)"
217,8,16,Intel Xeon Gold 6134,6134,2017-08-01,14,,3200,3700,,25344,130,,2214,Intel Xeon Scalable Processors,FCLGA3647,DDR4-2666,https://www.intel.com/content/www/us/en/products/sku/120493/intel-xeon-gold-6134-processor-24-75m-cache-3-20-ghz/specifications.html,Server,805306368,Launched,79,120493,76.0mm x 56.5mm,"Intel Xeon Gold 6134 Processor (24.75M Cache, 3.20 GHz)"
218,8,16,Intel Xeon Gold 6134M,6134M,2017-08-01,14,,3200,3700,,25344,130,,,Intel Xeon Scalable Processors,FCLGA3647,DDR4-2666,https://www.intel.com/content/www/us/en/products/sku/120494/intel-xeon-gold-6134m-processor-24-75m-cache-3-20-ghz/specifications.html,Server,1610612736,Launched,79,120494,76.0mm x 56.5mm,"Intel Xeon Gold 6134M Processor (24.75M Cache, 3.20 GHz)"
219,10,20,Intel Xeon Gold 5115,5115,2017-08-01,14,,2400,3200,,14080,85,,1221,Intel Xeon Scalable Processors,FCLGA3647,DDR4-2400,https://www.intel.com/content/www/us/en/products/sku/120484/intel-xeon-gold-5115-processor-13-75m-cache-2-40-ghz/specifications.html,Server,805306368,Launched,76,120484,76.0mm x 56.5mm,"Intel Xeon Gold 5115 Processor (13.75M Cache, 2.40 GHz)"
220,20,40,Intel Xeon Gold 6122,6122,2018-05-01,14,,1800,3700,,28672,120,,2002,Intel Xeon Scalable Processors,FCLGA3647,DDR4-2400,https://www.intel.com/content/www/us/en/products/sku/136872/intel-xeon-gold-6122-processor-27-5m-cache-1-80-ghz/specifications.html,Server,805306368,Launched,,136872,76.0mm x 56.5mm,"Intel Xeon Gold 6122 Processor (27.5M Cache, 1.80 GHz)"
221,16,32,Intel Xeon Gold 6129,6129,2018-05-01,14,,2300,3300,,22528,120,,,Intel Xeon Scalable Processors,FCLGA3647,DDR4-2400,https://www.intel.com/content/www/us/en/products/sku/125090/intel-xeon-gold-6129-processor-22m-cache-2-30-ghz/specifications.html,Server,805306368,Launched,,125090,76.0mm x 56.5mm,"Intel Xeon Gold 6129 Processor (22M Cache, 2.30 GHz)"
222,20,40,Intel Xeon Gold 6138P,6138P,2018-05-01,14,,2000,3700,,28160,195,,4937,Intel Xeon Scalable Processors,FCLGA3647,DDR4-2666,https://www.intel.com/content/www/us/en/products/sku/139940/intel-xeon-gold-6138p-processor-27-5m-cache-2-00-ghz/specifications.html,Server,805306368,Launched,,139940,,"Intel Xeon Gold 6138P Processor (27.5M Cache, 2.00 GHz)"
223,24,48,Intel Xeon Gold 6162,6162,2018-08-01,14,,1900,3500,,33792,150,,3115,Intel Xeon Scalable Processors,FCLGA3647,DDR4-2400,https://www.intel.com/content/www/us/en/products/sku/136869/intel-xeon-gold-6162-processor-33m-cache-1-90-ghz/specifications.html,Server,805306368,Launched,,136869,76.0mm x 56.5mm,"Intel Xeon Gold 6162 Processor (33M Cache, 1.90 GHz)"
224,16,32,Intel Xeon Gold 6130H,6130H,2018-08-01,14,,2100,3700,,22528,125,,,Intel Xeon Scalable Processors,,DDR4-2666,https://www.intel.com/content/www/us/en/products/sku/129764/intel-xeon-gold-6130h-processor-22m-cache-2-10-ghz/specifications.html,Server,805306368,Launched,,129764,,"Intel Xeon Gold 6130H Processor (22M Cache, 2.10 GHz)"
225,16,32,Intel Xeon Gold 5219Y,5219Y,2019-05-01,14,,2400,4000,,22528,125,,,2nd Generation Intel Xeon Scalable Processors,,2667,https://www.intel.com/content/www/us/en/products/sku/192454/intel-xeon-gold-5219y-processor-22m-cache-2-40-ghz/specifications.html,Server,1073741824,Launched,68,192454,76.0mm x 56.5mm,"Intel Xeon Gold 5219Y Processor (22M Cache, 2.40 GHz)"
226,24,48,Intel Xeon Gold 6212U,6212U,2019-05-01,14,,2400,3900,,36608,165,,1450,2nd Generation Intel Xeon Scalable Processors,FCLGA3647,DDR4-2933,https://www.intel.com/content/www/us/en/products/sku/192453/intel-xeon-gold-6212u-processor-35-75m-cache-2-40-ghz/specifications.html,Server,1073741824,Launched,90,192453,76.0mm x 56.5mm,"Intel Xeon Gold 6212U Processor (35.75M Cache, 2.40 GHz)"
227,20,40,Intel Xeon Gold 6210U,6210U,2019-05-01,14,,2500,3900,,28160,150,,1095,2nd Generation Intel Xeon Scalable Processors,FCLGA3647,DDR4-2933,https://www.intel.com/content/www/us/en/products/sku/192452/intel-xeon-gold-6210u-processor-27-5m-cache-2-50-ghz/specifications.html,Server,1073741824,Launched,86,192452,76.0mm x 56.5mm,"Intel Xeon Gold 6210U Processor (27.5M Cache, 2.50 GHz)"
228,18,36,Intel Xeon Gold 6254,6254,2019-05-01,14,,3100,4000,,25344,200,,3803,2nd Generation Intel Xeon Scalable Processors,FCLGA3647,DDR4-2933,https://www.intel.com/content/www/us/en/products/sku/192451/intel-xeon-gold-6254-processor-24-75m-cache-3-10-ghz/specifications.html,Server,1073741824,Launched,82,192451,76.0mm x 56.5mm,"Intel Xeon Gold 6254 Processor (24.75M Cache, 3.10 GHz)"
229,20,40,Intel Xeon Gold 6230N,6230N,2019-05-01,14,,2300,3500,,28160,125,,1452,2nd Generation Intel Xeon Scalable Processors,FCLGA3647,DDR4-2933,https://www.intel.com/content/www/us/en/products/sku/192450/intel-xeon-gold-6230n-processor-27-5m-cache-2-30-ghz/specifications.html,Server,1073741824,Launched,78,192450,76.0mm x 56.5mm,"Intel Xeon Gold 6230N Processor (27.5M Cache, 2.30 GHz)"
230,2,4,Intel Core i3-4010U,i3-4010U,2013-08-01,22,5,1700,,,3072,15,,281,4th Generation Intel Core i3 Processors,FCBGA1168,"DDR3L 1333/1600, LPDDR3 1333/1600",https://www.intel.com/content/www/us/en/products/sku/75107/intel-core-i34010u-processor-3m-cache-1-70-ghz/specifications.html,Mobile,16777216,Launched,100,75107,40mm x 24mm x 1.5mm,"Intel Core i3-4010U Processor (3M Cache, 1.70 GHz)"
231,2,4,Intel Core i3-4100U,i3-4100U,2013-08-01,22,5,1800,,,3072,15,,,4th Generation Intel Core i3 Processors,FCBGA1168,"DDR3L 1333/1600, LPDDR3 1333/1600",https://www.intel.com/content/www/us/en/products/sku/75110/intel-core-i34100u-processor-3m-cache-1-80-ghz/specifications.html,Mobile,16777216,Discontinued,100,75110,40mm x 24mm x 1.5mm,"Intel Core i3-4100U Processor (3M Cache, 1.80 GHz)"
232,2,4,Intel Core i3-4010Y,i3-4010Y,2013-08-01,22,5,1300,,,3072,11.5,,,4th Generation Intel Core i3 Processors,FCBGA1168,"DDR3L 1333/1600, LPDDR3 1333/1600",https://www.intel.com/content/www/us/en/products/sku/75988/intel-core-i34010y-processor-3m-cache-1-30-ghz/specifications.html,Mobile,16777216,Discontinued,100,75988,40mm x 24mm x 1.5mm,"Intel Core i3-4010Y Processor (3M Cache, 1.30 GHz)"
233,2,4,Intel Core i3-4158U,i3-4158U,2013-08-01,22,5,2000,,,3072,28,,,4th Generation Intel Core i3 Processors,FCBGA1168,DDR3L 1333/1600,https://www.intel.com/content/www/us/en/products/sku/75989/intel-core-i34158u-processor-3m-cache-2-00-ghz/specifications.html,Mobile,16777216,Discontinued,100,75989,40mm x 24mm x 1.5mm,"Intel Core i3-4158U Processor (3M Cache, 2.00 GHz)"
234,2,4,Intel Core i3-4330TE,i3-4330TE,2013-08-01,22,5,2400,,,4096,35,,122,4th Generation Intel Core i3 Processors,FCLGA1150,DDR3 1333/1600,https://www.intel.com/content/www/us/en/products/sku/77778/intel-core-i34330te-processor-4m-cache-2-40-ghz/specifications.html,Embedded,33554432,Launched,72,77778,37.5mm x 37.5mm,"Intel Core i3-4330TE Processor (4M Cache, 2.40 GHz)"
235,2,4,Intel Core i3-4340,i3-4340,2013-08-01,22,5,3600,,,4096,54,,157,4th Generation Intel Core i3 Processors,FCLGA1150,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",https://www.intel.com/content/www/us/en/products/sku/77771/intel-core-i34340-processor-4m-cache-3-60-ghz/specifications.html,Desktop,33554432,Discontinued,66.8,77771,37.5mm x 37.5mm,"Intel Core i3-4340 Processor (4M Cache, 3.60 GHz)"
236,2,4,Intel Core i3-4330T,i3-4330T,2013-08-01,22,5,3000,,,4096,35,,,4th Generation Intel Core i3 Processors,FCLGA1150,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",https://www.intel.com/content/www/us/en/products/sku/77770/intel-core-i34330t-processor-4m-cache-3-00-ghz/specifications.html,Desktop,33554432,Discontinued,66.4,77770,37.5mm x 37.5mm,"Intel Core i3-4330T Processor (4M Cache, 3.00 GHz)"
237,2,4,Intel Core i3-4330,i3-4330,2013-08-01,22,5,3500,,,4096,54,,138,4th Generation Intel Core i3 Processors,FCLGA1150,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",https://www.intel.com/content/www/us/en/products/sku/77769/intel-core-i34330-processor-4m-cache-3-50-ghz/specifications.html,Desktop,33554432,Launched,66.8,77769,37.5mm x 37.5mm,"Intel Core i3-4330 Processor (4M Cache, 3.50 GHz)"
238,4,8,Intel Core i7-6700T,i7-6700T,2015-08-01,14,8,2800,3600,,8192,35,,,6th Generation Intel Core i7 Processors,FCLGA1151,"DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V",https://www.intel.com/content/www/us/en/products/sku/88200/intel-core-i76700t-processor-8m-cache-up-to-3-60-ghz/specifications.html,Desktop,67108864,Launched,66,88200,37.5mm x 37.5mm,"Intel Core i7-6700T Processor (8M Cache, up to 3.60 GHz)"
239,2,4,Intel Core i7-6650U,i7-6650U,2015-08-01,14,4,2200,3400,,4096,15,,,6th Generation Intel Core i7 Processors,FCBGA1356,"DDR4-2133, LPDDR3-1866, DDR3L-1600",https://www.intel.com/content/www/us/en/products/sku/91497/intel-core-i76650u-processor-4m-cache-up-to-3-40-ghz/specifications.html,Mobile,33554432,Discontinued,100,91497,42x24x1.3,"Intel Core i7-6650U Processor (4M Cache, up to 3.40 GHz)"
240,2,4,Intel Core i7-6600U,i7-6600U,2015-08-01,14,4,2600,3400,2800,4096,15,25,393,6th Generation Intel Core i7 Processors,FCBGA1356,"DDR4-2133, LPDDR3-1866, DDR3L-1600",https://www.intel.com/content/www/us/en/products/sku/88192/intel-core-i76600u-processor-4m-cache-up-to-3-40-ghz/specifications.html,Mobile,33554432,Launched,100,88192,42mm X 24mm,"Intel Core i7-6600U Processor (4M Cache, up to 3.40 GHz)"
241,2,4,Intel Core i7-6560U,i7-6560U,2015-08-01,14,4,2200,3200,,4096,15,,,6th Generation Intel Core i7 Processors,,"DDR4-2133, LPDDR3-1866, DDR3L-1600",https://www.intel.com/content/www/us/en/products/sku/91163/intel-core-i76560u-processor-4m-cache-up-to-3-20-ghz/specifications.html,Mobile,33554432,Discontinued,100,91163,42x24x1.3,"Intel Core i7-6560U Processor (4M Cache, up to 3.20 GHz)"
242,4,8,Intel Core i7-6920HQ,i7-6920HQ,2015-08-01,14,8,2900,3800,,8192,45,,568,6th Generation Intel Core i7 Processors,FCBGA1440,"DDR4-2133, LPDDR3-1866, DDR3L-1600",https://www.intel.com/content/www/us/en/products/sku/88972/intel-core-i76920hq-processor-8m-cache-up-to-3-80-ghz/specifications.html,Mobile,67108864,Discontinued,100,88972,42mm x 28mm,"Intel Core i7-6920HQ Processor (8M Cache, up to 3.80 GHz)"
243,4,8,Intel Core i7-6820HQ,i7-6820HQ,2015-08-01,14,8,2700,3600,,8192,45,,378,6th Generation Intel Core i7 Processors,FCBGA1440,"DDR4-2133, LPDDR3-1866, DDR3L-1600",https://www.intel.com/content/www/us/en/products/sku/88970/intel-core-i76820hq-processor-8m-cache-up-to-3-60-ghz/specifications.html,Mobile,67108864,Discontinued,100,88970,42mm x 28mm,"Intel Core i7-6820HQ Processor (8M Cache, up to 3.60 GHz)"
244,4,8,Intel Core i7-6820HK,i7-6820HK,2015-08-01,14,8,2700,3600,,8192,45,,,6th Generation Intel Core i7 Processors,FCBGA1440,"DDR4-2133, LPDDR3-1866, DDR3L-1600",https://www.intel.com/content/www/us/en/products/sku/88969/intel-core-i76820hk-processor-8m-cache-up-to-3-60-ghz/specifications.html,Mobile,67108864,Discontinued,100,88969,42mm x 28mm,"Intel Core i7-6820HK Processor (8M Cache, up to 3.60 GHz)"
245,4,8,Intel Core i7-6700HQ,i7-6700HQ,2015-08-01,14,8,2600,3500,,6144,45,,378,6th Generation Intel Core i7 Processors,FCBGA1440,"DDR4-2133, LPDDR3-1866, DDR3L-1600",https://www.intel.com/content/www/us/en/products/sku/88967/intel-core-i76700hq-processor-6m-cache-up-to-3-50-ghz/specifications.html,Mobile,67108864,Discontinued,100,88967,42mm x 28mm,"Intel Core i7-6700HQ Processor (6M Cache, up to 3.50 GHz)"
246,2,4,Intel Core i7-6500U,i7-6500U,2015-08-01,14,4,2500,3100,2600,4096,15,25,,6th Generation Intel Core i7 Processors,FCBGA1356,"DDR4-2133, LPDDR3-1866, DDR3L-1600",https://www.intel.com/content/www/us/en/products/sku/88194/intel-core-i76500u-processor-4m-cache-up-to-3-10-ghz/specifications.html,Mobile,33554432,Discontinued,100,88194,42mm X 24mm,"Intel Core i7-6500U Processor (4M Cache, up to 3.10 GHz)"
247,4,8,Intel Core i7-6820EQ,i7-6820EQ,2015-11-01,14,8,2800,3500,,8192,45,,378,6th Generation Intel Core i7 Processors,FCBGA1440,"DDR4-2133, LPDDR3-1866, DDR3L-1600",https://www.intel.com/content/www/us/en/products/sku/90426/intel-core-i76820eq-processor-8m-cache-up-to-3-50-ghz/specifications.html,Embedded,67108864,Launched,100,90426,42mm x 28mm,"Intel Core i7-6820EQ Processor (8M Cache, up to 3.50 GHz)"
248,4,8,Intel Core i7-6822EQ,i7-6822EQ,2015-11-01,14,8,2000,2800,,8192,25,,378,6th Generation Intel Core i7 Processors,FCBGA1440,"DDR4-2133, LPDDR3-1866, DDR3L-1600",https://www.intel.com/content/www/us/en/products/sku/90615/intel-core-i76822eq-processor-8m-cache-up-to-2-80-ghz/specifications.html,Embedded,67108864,Launched,100,90615,42mm x 28mm,"Intel Core i7-6822EQ Processor (8M Cache, up to 2.80 GHz)"
249,4,8,Intel Core i7-6700TE,i7-6700TE,2015-11-01,14,8,2400,3400,,8192,35,,303,6th Generation Intel Core i7 Processors,FCLGA1151,"DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V",https://www.intel.com/content/www/us/en/products/sku/88201/intel-core-i76700te-processor-8m-cache-up-to-3-40-ghz/specifications.html,Embedded,67108864,Launched,,88201,37.5mm x 37.5mm,"Intel Core i7-6700TE Processor (8M Cache, up to 3.40 GHz)"
250,2,4,Intel Core i7-6498DU,i7-6498DU,2015-11-01,14,,2500,3100,2600,4096,15,25,,6th Generation Intel Core i7 Processors,,"DDR4-2133, LPDDR3-1866, DDR3L-1600",https://www.intel.com/content/www/us/en/products/sku/93430/intel-core-i76498du-processor-4m-cache-up-to-3-10-ghz/specifications.html,Mobile,33554432,Launched,100,93430,42mm X 24mm,"Intel Core i7-6498DU Processor (4M Cache, up to 3.10 GHz)"
